place_id,place,is_online,category
-2,Not apply,Unknown,Not apply
-1,Unknown,Unknown,Unknown
1,Aliexpress,Online,E-commerce
2,Ifood,Online,Delivery Services
3,Uber,Online,Ride-Sharing
4,Nubank,Online,Finance
5,Amazon,Online,E-commerce
6,Amazon Prime,Online,Subscriptions
7,Azul,Online,Travel & Vacations
8,Escola de Artes Manuais,Online,Online Courses
9,Shopee,Online,E-commerce
10,Youtube,Online,Subscriptions
11,HBO Max,Online,Subscriptions
12,Jau Serve,Physical,Groceries
13,Gol,Online,Travel & Vacations
14,Hering,Online,Clothing
15,Latam,Online,Travel & Vacations
16,Extra,Physical,E-commerce
17,Google Apps,Online,Technology
18,99Taxis,Online,Ride-Sharing
19,Kalunga,Physical,Office Supplies
20,Sony Plastaytion,Online,Entertainment
21,Long Neck,Physical,Restaurants
22,Banana Brasil Eventos,Physical,Events
23,Nike,Physical,Clothing
24,Clickbus,Online,Bus
25,Centauro,Physical,Clothing
26,Ingresso.com,Online,Entertainment
27,Bobs,Physical,Restaurants
28,Empresa Cruz,Physical,Bus
29,Insider,Online,Clothing
30,Hotels.com,Online,Travel & Vacations
31,Lancheria Lanche Pao,Physical,Restaurants
32,123 Milhas,Online,Travel & Vacations
33,Pizzaria Lucchiari,Physical,Restaurants
34,Gauchao Lanches,Physical,Restaurants
35,Carrefour,Physical,Groceries
36,Futuro Gestao Financeira,Online,Finance
37,Atelier Ana Celia,Physical,Clothing
38,TotalPass,Online,Gym and Fitness
39,Microsoft Gamepass,Online,Subscriptions
40,Mercado Livre Plus,Online,Subscriptions
41,Clube Wine,Online,Subscriptions
42,Restaurante Tempero Arte,Physical,Restaurants
43,Consultoria Futuro,Online,Finance
44,Injoy Burguer,Physical,Restaurants
45,Imobiliaria Portal,Physical,Rent
46,Restaurante Serasa,Physical,Restaurants
47,CPFL,Online,Utilities
48,Lanchonete Avalanche,Physical,Restaurants
49,Kamzu,Physical,Restaurants
50,Savegnago,Physical,Groceries
51,Pizzaria Ritorno,Physical,Restaurants