regex_id,regex_pattern,place,transaction_type,description,active,priority,insertion_time,not_active_since,last_update
1,Aliexpress|Alipay,Aliexpress,,Purchases at Aliexpress,TRUE,1,,,
2,Amazon(\b|-|\.),Amazon,,Purchases at Amazon,TRUE,1,,,
3,Ifood|Ifd,Ifood,,Purchases at Ifood,TRUE,1,,,
4,Uber,Uber,,Rides with Uber,TRUE,1,,,
5,Gol\b,Gol,,Flights with Gol,TRUE,1,,,
6,Azul\b,Azul,,Flights with Azul,TRUE,1,,,
7,Amazonprimebr,Amazon Prime,,Signature at Amazon Prime,TRUE,1,,,
8,Pizzaria Emmily,Pizzaria Emmily,,Purchases at Pizzaria Emmily,TRUE,1,,,
9,(?i:Jau Serve (Loja|Lj)),Jau Serve Loja,,Purchases at Jau Serve supermarket,TRUE,1,,,
10,Gaucho Lanches,Gauchao Lanches,,Purchases at Gaucho Lanches,TRUE,1,,,
11,Stelo\*Long Neck,Long Neck,,Purchases at Stelo Long Neck,TRUE,1,,,
12,Banana Brasil Eventos,Banana Brasil Eventos,,Purchases at Banana Brasil Eventos,TRUE,1,,,
13,Bananatal,Banana Brasil Eventos,,Payments to Bmg Bananatal,TRUE,1,,,
14,Alta Horas,Alta Horas,,Purchases at Alta Horas,TRUE,1,,,
15,Gauchao Lanches,Gauchao Lanches,,Purchases at Gauchao Lanches,TRUE,1,,,
16,99(\* Pop|[Aa]pp),99Taxis,,Rides with 99 Pop,TRUE,1,,,
17,Portodopao,Porto do Pao,,Payments to Porto do Pao,TRUE,1,,,
18,Recargatim,Tim,,Payments to Tim,TRUE,1,,,
19,Perini Comercial,Perini,,Purchases at Perini,TRUE,1,,,
20,Rancho do Cupim,Rancho do Cupim,,Purchases at Rancho do Cupim,TRUE,1,,,
21,Drogasil,Drogasil,,Purchases at Drogasil,TRUE,1,,,
22,Lancheria Lanche Pao,Lancheria Lanche Pao,,Purchases at Lancheria Lanche Pao,TRUE,1,,,
23,\bBobs\b,Bobs,,Purchases at Bobs,TRUE,1,,,
24,Edestinos,Edestinos,,Purchases at Edestinos,TRUE,1,,,
25,Pizzaria Lucchiari,Pizzaria Lucchiari,,Purchases at Pizzaria Lucchiari,TRUE,1,,,
26,Sonyplaystatn,Sony Plastaytion,,Purchases at Sony Plastaytion,TRUE,1,,,
27,Google Forest App,Forest App,,Purchases at Forest App,TRUE,1,,,
28,Edi do Acai No Peso,Acai No Peso,,Purchases at Acai No Peso,TRUE,1,,,
29,Magalu|Magazineluiza,Magazine Luiza,,Purchases at Magazineluiza,TRUE,1,,,
30,Travel Ace,Travel Ace,,Purchases at Travel Ace,TRUE,1,,,
31,la Petitosa,la Petitosa,,Purchases at la Petitosa,TRUE,1,,,
32,Latam,Latam,,Purchases at Latam,TRUE,1,,,
33,Shopee,Shopee,,Purchases at Shopee,TRUE,1,,,
34,Bardoteodoro,Bar do Teodoro,,Payments to Bardo Teodoro,TRUE,1,,,
35,Farmacia Nossa Senhora,Farmacia Nossa Senhora,,Purchases at Farmacia Nossa Senhora,TRUE,1,,,
36,Chiquinho Sorvetes,Chiquinho Sorvetes,,Purchases at Chiquinho Sorvetes,TRUE,1,,,
37,Digitalocean,Digital Ocean,,Payments to Digital Ocean,TRUE,1,,,
38,Netshoes,Netshoes,,Purchases at Netshoes,TRUE,1,,,
39,Nubank,Nubank,,Payments to Nubank,TRUE,1,,,
40,Extra Com,Extra,,Purchases at Extra,TRUE,1,,,
41,Hbomax,HBO Max,,Payments to HBO Max,TRUE,1,,,
42,Hering,Hering,,Purchases at Hering,TRUE,1,,,
43,Youtube,Youtube,,Payments to Youtube,TRUE,1,,,
44,123 Viagens e Turismo,123 Milhas,,Purchases at 123 Milhas,TRUE,1,,,
45,(?i:Grsa Serasa Lanch),Lanchonete Serasa,,Purchases at Lanchonete Serasa,TRUE,1,,,
46,Avalanche,Avalanche,,Purchases at Avalanche,TRUE,1,,,
47,Empresa Cruz,Empresa Cruz,,Payments to Empresa Cruz,TRUE,1,,,
48,Carrefour,Carrefour,,Purchases at Carrefour,TRUE,1,,,
49,Centauro,Centauro,,Purchases at Centauro,TRUE,1,,,
49,Rappi,Rappi,,Purchases at Rappi,TRUE,1,,,
50,Google(ellatio| Ellatio| Wallet),Google Apps,,Payments to Google Apps,TRUE,1,,,
51,Insiderstore,Insider,,Purchases at Insider,TRUE,1,,,
52,Nike,Nike,,Purchases at Nike,TRUE,1,,,
53,Hotelscom,Hotels.com,,Purchases at Hotels.com,TRUE,1,,,
54,Portaleam|Portal Eam,Escola de Artes Manuais,,Payments to Escola de Artes Manuais,TRUE,1,,,
55,Kalunga,Kalunga,,Purchases at Kalunga,TRUE,1,,,
56,Clickbus,Clickbus,,Purchases at Clickbus,TRUE,1,,,
57,Netshoes,Netshoes,,Purchases at Netshoes,TRUE,1,,,
58,Nubank,Nubank,,Payments to Nubank,TRUE,1,,,
59,Divinofugao,Divino Fogao,,Purchases at Divino Fogao,TRUE,1,,,
60,Hiperideal,Hiperideal,,Purchases at Hiperideal,TRUE,1,,,
61,Ingresse|Ingresso\.com,Ingresso.com,,Purchases at Ingresse.com,TRUE,1,,,
62,Livrarialeitura,Livraria Leitura,,Purchases at Livraria Leitura,TRUE,1,,,
63,Paraiso da Leitura,Paraiso da Leitura,,Purchases at Paraiso da Leitura,TRUE,1,,,
64,Byma\b,Byma,,Purchases at Byma,TRUE,1,,,
65,Code Brincos,Code Brincos,,Purchases at Code Brincos,TRUE,1,,,
66,\bRaia\b,Drogaria Raia,,Purchases at Drogaria Raia,TRUE,1,,,
67,Shoptime,Shoptime,,Purchases at Shoptime,TRUE,1,,,
68,Swarovski,Swarovski,,Purchases at Swarovski,TRUE,1,,,
69,Submarino,Submarino,,Purchases at Submarino,TRUE,1,,,
70,(?i:FUTURO GESTAO FINA),Futuro Gestao Financeira,,Payments to Futuro Gestao Financeira,TRUE,1,,,
71,(?i:ATELIER ANA CELIA),Atelier Ana Celia,,Atelie,TRUE,1,,,
72,(?i:BECO DA TORTA),Beco da Torta,,Beco da Torta,TRUE,1,,,
73,(?i:Banana Cafe Bar),Banana Cafe Bar,,Banana Cafe Bar,TRUE,1,,,
74,(?i:Bar do Dalmir),Bar do Dalmir,,Bar do Dalmir,TRUE,1,,,
75,(?i:(ClubeW|Wine)),Wine,,Wine,TRUE,1,,,
76,(?i:Shop(ping)? Inter),Inter Shop,,Inter Shop,TRUE,1,,,
77,(?i:(Melimais|Nivel6)),Mercado Livre Plus,,Mercado Livre Plus,TRUE,1,,,
78,(?i:In\s?joy),In Joy Hamburgueria,,In Joy Hamburgueria,TRUE,1,,,
79,Vilapotenza,In Joy Hamburgueria,,In Joy Hamburgueria,TRUE,1,,,
80,Microsoft,Microsoft Gamepass,,Microsoft Gamepass,TRUE,1,,,
81,(?i:NAPOLESPIZZA),Pizzaria Napoles,,Pizzaria Napoles,TRUE,1,,,
82,Oficinadabarba,Oficina da Barba,,Oficina da Barba,TRUE,1,,,
83,(?i:Riachuelo),Riachuelo,,Riachuelo,TRUE,1,,,
84,(?i:Seg Cart Stda Liberty),Inter,,Seguro Cartao Inter,TRUE,1,,,
85,Ticketmaster,Ticketmaster,,Ticketmaster,TRUE,1,,,
86,Pista 2002,Pista 2002,,Pista 2002,TRUE,1,,,
87,(?i:Farmacia Rosar),Farmacia Rosario,,Farmacia Rosario,TRUE,1,,,
88,(?i:Kamzu),Kamzu,,Kamzu,TRUE,1,,,
89,(?i:Renner),Renner,,Renner,TRUE,1,,,